configurationID,H264,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime
477,true,false,false,true,true,true,false,true,true,60,1,3671426,28.644,0.488,3.854
478,true,false,false,true,true,true,false,false,false,40,1,3640394,28.428,0.428,3.610
479,true,true,false,true,true,true,true,false,false,40,9,4820867,52.320,0.452,5.607
48,true,true,false,false,false,true,true,true,true,60,1,4261016,28.684,0.416,2.701
480,true,true,false,true,true,true,true,true,false,20,5,4858449,35.224,0.336,3.329
481,true,false,false,true,true,true,false,false,false,40,5,3613896,39.428,0.468,4.592
482,true,true,false,true,true,true,true,true,false,20,1,4879503,28.376,0.364,2.757
483,true,true,false,true,true,true,true,false,false,40,5,4828682,39.596,0.416,4.073
484,true,false,false,true,true,true,false,true,false,20,1,3609619,27.824,0.432,3.203
485,true,true,false,true,true,true,true,false,false,40,1,4879503,28.216,0.332,2.688
486,true,true,false,false,true,true,true,true,false,40,9,4243834,44.704,0.448,4.197
487,true,true,false,true,true,true,true,true,true,60,9,4913964,44.512,0.452,4.175
488,true,true,false,true,true,true,true,true,true,60,5,4921610,35.124,0.544,3.318
489,true,true,false,false,true,true,true,false,false,60,5,4223999,40.008,0.484,4.082
49,true,false,false,true,false,true,true,true,true,40,1,4931572,30.704,0.392,2.833
490,true,true,false,false,true,true,true,true,false,40,1,4264726,28.632,0.412,2.721
491,true,true,false,true,true,true,true,true,true,60,1,4932110,28.324,0.332,2.750
492,true,true,false,false,true,true,true,false,false,60,9,4219794,52.708,0.424,5.557
493,true,true,false,false,true,true,true,true,false,40,5,4241577,35.420,0.360,3.323
494,true,true,false,true,true,true,true,true,false,20,9,4854033,44.480,0.380,4.225
495,true,false,false,false,true,false,true,false,true,60,1,4317441,30.600,0.332,2.844
496,true,true,false,false,true,false,false,true,false,20,5,3079712,31.576,0.384,3.391
497,true,false,false,false,true,false,true,true,true,40,1,4317441,30.532,0.320,2.813
498,true,false,false,false,true,false,true,false,true,60,5,4290300,41.312,0.508,4.219
499,true,true,false,false,true,false,false,true,false,20,9,3079155,39.344,0.464,4.042
5,true,false,false,true,true,true,true,false,true,40,9,4938462,55.552,0.444,5.882
50,true,false,false,false,true,true,false,false,false,40,5,3157630,39.992,0.468,4.654
500,true,true,false,false,true,false,false,false,false,40,9,3083228,46.724,0.560,5.417
501,true,false,false,false,true,false,true,false,true,60,9,4286491,53.320,0.480,5.664
502,true,false,false,false,true,false,true,true,true,40,5,4303795,36.416,0.388,3.417
503,true,false,false,true,true,true,false,true,true,40,9,3664099,44.292,0.464,4.598
504,true,true,false,false,true,false,false,false,false,40,5,3087975,36.356,0.524,4.353
505,true,false,false,false,true,false,true,true,true,40,9,4301421,44.440,0.356,4.083
506,true,true,false,false,true,false,false,true,false,20,1,3101677,26.076,0.408,3.075
507,true,true,false,false,true,false,false,false,false,40,1,3129472,26.632,0.360,3.404
508,true,false,false,true,true,true,false,false,true,60,5,3650169,39.972,0.512,4.679
509,true,false,false,false,true,true,false,true,false,40,1,3182755,28.544,0.428,3.458
51,true,false,false,true,true,true,true,false,true,60,9,4938462,55.668,0.492,5.932
510,true,false,false,true,true,true,false,true,true,40,1,3669457,28.364,0.520,3.607
511,true,false,false,false,true,true,false,false,false,60,5,3160232,40.508,0.472,4.798
512,true,false,false,true,false,false,false,false,false,60,1,3582617,28.332,0.492,3.804
513,true,true,false,false,true,false,false,false,true,20,9,3080949,46.160,0.408,5.042
514,true,false,false,true,true,true,false,true,true,40,5,3667809,35.212,0.488,3.924
515,true,false,false,true,true,true,false,false,true,60,9,3640511,52.292,0.452,6.051
516,true,false,false,false,true,true,false,false,false,60,1,3185184,29.092,0.480,3.851
517,true,false,false,true,false,false,false,true,false,40,1,3580333,28.060,0.412,3.591
518,true,false,false,true,false,false,false,false,false,60,5,3554680,38.112,0.572,4.733
519,true,true,false,false,true,false,false,false,true,20,5,3085586,35.724,0.484,3.977
52,true,false,false,false,true,true,false,false,false,40,1,3182755,28.404,0.396,3.390
520,true,false,false,false,true,true,false,true,false,40,9,3166252,44.568,0.512,4.659
521,true,false,false,true,false,false,false,true,false,40,5,3569377,33.532,0.512,3.816
522,true,false,false,true,false,false,false,false,false,60,9,3544233,48.408,0.628,5.771
523,true,true,false,false,true,false,false,false,true,20,1,3124104,26.168,0.432,3.126
524,true,false,false,true,true,true,false,false,true,60,1,3671426,28.788,0.468,3.807
525,true,false,false,false,true,true,false,true,false,40,5,3168853,35.120,0.516,3.814
526,true,false,false,false,true,true,false,false,false,60,9,3157474,53.180,0.528,6.268
527,true,false,false,true,false,false,false,true,false,40,9,3565543,41.428,0.560,4.539
528,true,false,false,true,true,true,false,false,false,20,1,3609619,27.840,0.428,3.166
529,true,true,false,true,false,false,true,false,false,40,1,4819393,28.124,0.348,2.689
53,true,false,false,true,true,true,true,false,true,60,5,4948885,42.716,0.520,4.367
530,true,true,false,true,false,false,true,true,false,20,9,4799873,42.040,0.424,3.983
531,true,true,false,true,true,true,true,true,true,40,9,4913964,44.364,0.392,4.174
532,true,true,false,true,true,true,true,true,true,40,5,4921610,35.168,0.400,3.308
533,true,true,false,true,true,true,true,false,true,60,9,4883536,52.524,0.472,5.504
534,true,false,false,false,true,false,true,false,false,20,1,4272359,30.496,0.312,2.863
535,true,true,false,true,true,true,true,true,true,40,1,4932110,28.284,0.328,2.729
536,true,true,false,true,true,true,true,false,true,60,5,4893945,39.948,0.388,4.029
537,true,true,false,true,false,false,true,true,false,20,1,4819393,28.172,0.312,2.670
538,true,true,false,true,false,false,true,false,false,40,5,4774559,38.384,0.508,3.961
539,true,false,false,false,true,false,true,false,false,20,5,4239894,41.384,0.416,4.262
54,true,true,false,true,false,true,false,false,true,60,9,3547140,49.408,0.516,5.683
540,true,true,false,true,false,false,true,true,false,20,5,4802151,34.060,0.452,3.266
541,true,true,false,true,true,true,true,false,true,60,1,4932110,28.292,0.324,2.716
542,true,true,false,true,false,false,true,false,false,40,9,4766466,49.688,0.484,5.312
543,true,true,false,false,true,false,false,false,false,20,9,3060202,46.072,0.540,5.131
544,true,true,false,false,true,false,false,false,true,40,1,3149322,26.552,0.420,3.397
545,true,true,false,false,true,false,false,false,false,20,5,3066140,35.624,0.528,4.056
546,true,false,false,false,true,false,true,false,true,40,1,4317441,30.544,0.384,2.806
547,true,true,false,true,false,false,true,true,true,60,9,4856450,41.988,0.424,3.891
548,true,true,false,false,true,false,false,false,false,20,1,3101677,26.040,0.396,3.070
549,true,false,false,false,true,false,true,true,true,20,1,4317441,30.444,0.448,2.865
55,true,false,false,true,false,true,true,true,true,40,9,4926657,46.912,0.476,4.406
550,true,false,false,false,true,false,true,false,true,40,5,4290300,41.540,0.464,4.239
551,true,false,false,true,true,true,false,true,true,20,9,3632808,43.948,0.464,4.380
552,true,false,false,false,true,false,true,false,true,40,9,4286491,53.108,0.512,5.670
553,true,false,false,false,true,false,true,true,true,20,5,4303795,36.304,0.416,3.399
554,true,false,false,true,false,false,false,false,false,40,1,3580333,28.128,0.440,3.523
555,true,false,false,false,true,false,true,true,true,20,9,4301421,44.340,0.412,4.120
556,true,false,false,false,true,true,false,true,false,60,5,3174300,35.576,0.564,4.177
557,true,false,false,true,true,true,false,false,true,40,5,3647774,39.660,0.500,4.593
558,true,false,false,true,true,true,false,true,true,20,1,3639661,27.804,0.404,3.161
559,true,false,false,true,false,false,false,false,false,40,5,3551810,37.920,0.432,4.503
56,true,true,false,true,false,true,true,false,false,20,1,4827804,28.208,0.432,2.693
560,true,false,false,true,false,false,false,true,false,20,1,3549770,27.488,0.432,3.150
561,true,true,false,false,true,false,false,true,true,20,9,3097516,39.244,0.316,3.919
562,true,false,false,true,true,true,false,true,true,20,5,3638225,34.824,0.392,3.612
563,true,false,false,false,true,true,false,true,false,60,1,3185184,28.876,0.460,3.764
564,true,false,false,true,true,true,false,false,true,40,9,3638742,51.732,0.660,5.919
565,true,false,false,true,false,false,false,true,false,20,5,3542911,33.444,0.480,3.633
566,true,false,false,true,false,false,false,false,false,40,9,3539877,48.264,0.508,5.570
567,true,true,false,false,true,false,false,true,true,20,5,3101741,31.588,0.424,3.373
568,true,true,false,false,true,false,false,false,true,40,9,3103999,46.332,0.484,5.275
569,true,false,false,true,false,false,false,true,false,20,9,3542313,40.760,0.568,4.179
57,true,true,false,false,true,false,true,true,false,20,1,4259350,28.484,0.328,2.677
570,true,true,false,false,true,false,false,false,true,40,5,3113129,35.784,0.516,4.171
571,true,true,false,false,true,false,false,true,true,20,1,3124104,26.184,0.368,3.131
572,true,false,false,true,true,true,false,false,true,40,1,3669457,28.536,0.360,3.547
573,true,false,false,false,true,true,false,true,false,60,9,3168697,44.688,0.512,4.832
574,true,true,false,true,false,false,true,false,false,60,1,4819393,28.212,0.380,2.726
575,true,true,false,true,true,true,true,true,true,20,9,4913964,44.396,0.412,4.151
576,true,true,false,true,false,false,true,true,false,40,9,4799873,41.944,0.464,3.937
577,true,true,false,true,true,true,true,false,true,40,9,4883536,52.180,0.500,5.493
578,true,true,false,true,true,true,true,true,true,20,5,4921610,34.960,0.412,3.273
579,true,true,false,true,true,true,true,false,true,40,5,4893945,39.852,0.456,4.035
58,true,false,false,true,true,true,true,false,true,60,1,4977216,30.592,0.420,2.815
580,true,true,false,true,false,false,true,true,false,40,1,4819393,28.136,0.296,2.654
581,true,true,false,true,true,true,true,true,true,20,1,4932110,28.312,0.332,2.689
582,true,true,false,true,false,false,true,false,false,60,5,4774559,38.480,0.404,3.969
583,true,true,false,true,false,false,true,true,false,40,5,4802151,34.120,0.400,3.228
584,true,true,false,true,true,true,true,false,true,40,1,4932110,28.312,0.460,2.745
585,true,true,false,true,false,false,true,false,false,60,9,4766466,49.700,0.496,5.312
586,true,false,false,true,false,true,true,false,false,20,5,4845769,42.492,0.416,4.373
587,true,true,false,false,false,true,true,false,false,40,1,4215783,28.672,0.344,2.717
588,true,true,false,false,false,false,false,true,false,20,9,3032432,39.288,0.412,3.958
589,true,false,false,false,true,false,true,true,false,20,5,4253194,36.348,0.372,3.433
59,true,true,false,false,true,false,false,true,true,60,9,3125728,39.972,0.484,4.419
590,true,true,false,false,false,true,true,false,false,40,5,4175583,40.120,0.408,4.103
591,true,false,false,true,false,true,true,false,false,20,9,4837499,55.152,0.540,6.030
592,true,true,false,true,true,false,true,false,true,20,9,4871651,49.864,0.480,5.202
593,true,false,false,false,true,false,true,true,false,20,9,4257644,44.224,0.472,4.209
594,true,true,false,false,false,true,true,false,false,40,9,4173806,52.736,0.412,5.599
595,true,true,false,true,false,false,true,true,true,40,5,4863952,33.996,0.432,3.215
596,true,true,false,true,false,false,true,true,true,40,9,4856450,41.848,0.440,3.871
597,true,false,false,true,false,false,true,false,false,40,9,4822980,52.684,0.436,5.654
598,true,false,false,false,true,true,false,true,true,60,1,3212144,29.248,0.424,3.838
599,true,false,false,true,false,false,true,false,false,40,1,4862854,30.540,0.320,2.823
6,true,false,false,false,true,true,false,false,false,20,1,3155862,27.936,0.384,3.115
60,true,true,false,true,false,true,false,false,true,60,5,3557482,37.372,0.532,4.436
600,true,true,false,true,true,false,true,false,true,20,5,4884834,38.728,0.440,3.975
601,true,false,false,true,false,false,true,false,false,40,5,4829543,41.048,0.516,4.272
602,true,true,false,true,true,false,true,false,true,20,1,4922285,28.108,0.388,2.694
603,true,false,false,false,true,true,false,true,true,40,5,3195047,35.444,0.416,3.871
604,true,false,false,false,true,true,false,true,true,40,1,3206994,28.724,0.464,3.560
605,true,true,false,true,false,true,true,true,true,20,1,4883540,28.428,0.416,2.737
606,true,true,false,true,false,true,true,true,true,20,5,4878097,35.268,0.440,3.322
607,true,false,false,false,true,true,false,true,true,40,9,3191830,44.856,0.520,4.740
608,true,true,false,true,false,false,true,true,true,60,1,4872717,28.272,0.348,2.697
609,true,true,false,true,true,true,true,false,true,20,9,4883536,52.532,0.444,5.481
61,true,true,false,true,false,true,true,false,false,20,5,4790302,39.764,0.452,4.096
610,true,true,false,true,false,true,true,true,true,20,9,4870135,44.644,0.400,4.198
611,true,true,false,false,false,false,true,false,false,60,1,4210212,28.588,0.384,2.734
612,true,true,false,true,false,false,true,true,true,60,5,4863952,33.972,0.412,3.199
613,true,true,false,true,true,true,true,false,true,20,5,4893945,39.948,0.368,4.038
614,true,true,false,false,false,false,false,true,false,40,1,3078743,26.668,0.436,3.500
615,true,false,false,false,true,false,true,true,false,40,1,4272359,30.584,0.312,2.861
616,true,true,false,true,true,true,true,false,true,20,1,4932110,28.228,0.360,2.716
617,true,true,false,false,false,false,false,true,false,40,5,3054960,32.192,0.412,3.690
618,true,true,false,false,false,false,true,false,false,60,9,4164861,50.140,0.440,5.299
619,true,false,false,false,true,false,true,true,false,40,5,4253194,36.392,0.384,3.452
62,true,false,false,false,true,true,false,false,false,40,9,3153196,52.816,0.508,6.109
620,true,false,false,true,false,true,true,false,false,40,1,4873374,30.652,0.340,2.837
621,true,true,false,false,false,false,true,false,false,60,5,4168284,38.968,0.360,3.974
622,true,true,false,false,false,false,false,true,false,40,9,3053139,40.012,0.440,4.318
623,true,false,false,true,false,false,false,false,true,60,9,3573483,49.004,0.484,5.824
624,true,true,false,false,false,true,true,false,false,60,5,4175583,39.996,0.492,4.099
625,true,false,false,true,false,false,false,false,true,60,5,3585456,38.296,0.444,4.704
626,true,true,false,false,false,true,true,false,false,60,9,4173806,52.616,0.524,5.605
627,true,true,false,true,false,false,true,true,true,20,5,4863952,34.104,0.348,3.230
628,true,true,false,true,false,false,true,true,true,20,9,4856450,41.968,0.488,3.946
629,true,false,false,true,false,true,false,false,true,40,9,3596178,51.728,0.500,5.869
63,true,true,false,false,true,false,true,true,false,20,5,4233273,34.368,0.336,3.250
630,true,false,false,true,false,false,true,false,false,20,5,4829543,41.028,0.488,4.250
631,true,false,false,false,true,true,true,true,false,20,5,4262609,37.596,0.380,3.524
632,true,true,false,false,false,true,false,true,false,20,9,3050160,42.324,0.608,4.271
633,true,false,false,false,true,true,true,true,false,20,9,4266767,46.928,0.456,4.468
634,true,false,false,true,false,false,true,false,false,20,9,4822980,52.448,0.428,5.655
635,true,false,false,true,false,false,false,false,true,60,1,3612080,28.656,0.428,3.837
636,true,true,false,false,false,true,false,true,false,20,1,3067390,26.588,0.392,3.125
637,true,false,false,true,false,false,true,false,false,20,1,4862854,30.388,0.372,2.864
638,true,false,false,false,true,true,true,true,false,20,1,4280120,30.588,0.340,2.795
639,true,true,false,false,false,true,false,true,false,20,5,3048845,33.052,0.428,3.438
64,true,true,false,false,true,false,false,true,true,60,5,3126327,32.352,0.472,3.957
640,true,true,false,false,false,true,true,false,false,60,1,4215783,28.672,0.424,2.707
641,true,false,false,false,true,true,false,true,true,60,9,3193991,45.072,0.392,4.765
642,true,false,false,false,true,true,false,true,true,60,5,3198063,35.652,0.488,4.138
643,true,true,false,true,false,true,true,true,true,40,1,4883540,28.372,0.384,2.697
644,true,true,false,true,false,true,true,true,true,40,5,4878097,35.152,0.484,3.317
645,true,true,false,true,false,true,true,true,true,40,9,4870135,44.560,0.432,4.152
646,true,false,false,true,false,true,false,false,true,60,9,3598949,52.032,0.444,6.030
647,true,true,false,false,false,false,true,false,false,40,1,4210212,28.632,0.408,2.733
648,true,false,false,false,true,false,false,true,true,60,9,3176072,41.668,0.448,4.629
649,true,false,false,true,false,true,false,false,true,60,5,3609436,39.740,0.516,4.757
65,true,true,false,true,false,true,false,false,true,60,1,3583799,26.740,0.512,3.723
650,true,false,false,false,true,false,false,true,true,60,5,3179467,34.216,0.488,4.161
651,true,true,false,true,false,false,true,true,true,40,1,4872717,28.232,0.364,2.744
652,true,false,false,true,false,true,false,false,true,60,1,3625988,28.844,0.412,3.852
653,true,true,false,false,false,false,true,false,false,40,9,4164861,50.024,0.452,5.300
654,true,true,false,false,false,false,false,true,false,20,1,3055009,26.116,0.448,3.109
655,true,false,false,false,true,false,false,true,true,60,1,3194477,28.616,0.500,3.812
656,true,false,false,true,false,true,true,false,false,20,1,4873374,30.688,0.340,2.825
657,true,true,false,false,false,false,false,true,false,20,5,3032351,31.688,0.400,3.409
658,true,true,false,false,false,false,true,false,false,40,5,4168284,38.812,0.400,3.959
659,true,false,false,false,true,false,true,true,false,20,1,4272359,30.368,0.352,2.859
66,true,true,false,true,false,true,true,false,false,20,9,4779404,52.116,0.500,5.584
660,true,true,false,true,true,true,false,true,false,40,1,3598392,26.500,0.400,3.520
661,true,false,false,true,false,true,true,false,false,60,9,4837499,55.216,0.436,5.978
662,true,false,false,false,true,false,true,true,false,60,9,4257644,44.232,0.432,4.152
663,true,false,false,true,false,false,false,false,true,40,9,3571673,48.468,0.560,5.648
664,true,false,false,true,true,false,false,false,false,20,9,3558802,47.940,0.528,5.423
665,true,false,false,true,false,false,false,false,true,40,5,3582233,37.756,0.544,4.435
666,true,true,false,true,true,true,false,true,false,40,9,3583883,42.368,0.464,4.533
667,true,false,false,true,true,false,false,false,false,20,5,3565960,37.344,0.532,4.243
668,true,false,false,false,true,true,true,false,true,40,9,4295528,56.052,0.440,5.963
669,true,false,false,true,true,false,false,false,false,20,1,3594732,27.384,0.444,3.150
67,true,false,false,false,true,false,false,false,false,40,5,3140277,38.368,0.500,4.608
670,true,true,false,true,true,true,false,true,false,40,5,3588162,33.168,0.332,3.718
671,true,false,false,false,true,true,true,false,true,40,5,4300781,43.064,0.396,4.401
672,true,true,false,false,false,true,false,false,true,40,9,3077504,49.620,0.528,5.599
673,true,false,false,false,true,true,true,false,true,40,1,4326309,30.848,0.336,2.833
674,true,true,false,true,true,false,true,false,true,60,1,4922285,28.136,0.328,2.705
675,true,true,false,false,false,true,false,false,true,40,5,3082532,37.624,0.524,4.298
676,true,true,false,false,false,true,false,false,true,40,1,3112144,26.992,0.448,3.446
677,true,false,false,true,false,false,false,false,true,40,1,3608877,28.012,0.444,3.531
678,true,true,false,true,true,false,true,false,true,60,9,4871651,49.884,0.364,5.239
679,true,true,false,true,true,false,false,true,true,20,9,3562338,38.748,0.500,3.973
68,true,true,false,false,true,false,true,true,false,20,9,4235548,42.140,0.460,3.908
680,true,true,false,true,true,false,true,false,true,60,5,4884834,38.580,0.408,3.903
681,true,true,false,true,true,true,true,false,false,60,9,4820867,52.456,0.508,5.611
682,true,true,false,true,true,false,false,true,true,40,5,3599722,31.684,0.444,3.697
683,true,true,false,true,true,true,true,false,false,60,5,4828682,39.604,0.416,4.035
684,true,true,false,true,true,false,false,true,true,40,1,3615411,26.628,0.356,3.543
685,true,true,false,true,false,true,true,true,true,60,1,4883540,28.460,0.336,2.702
686,true,true,false,false,true,true,false,false,false,40,1,3139521,26.828,0.416,3.387
687,true,true,false,true,true,true,true,false,false,60,1,4879503,28.192,0.420,2.662
688,true,true,false,true,false,true,true,true,true,60,5,4878097,35.228,0.372,3.296
689,true,true,false,true,false,true,true,true,true,60,9,4870135,44.584,0.492,4.220
69,true,true,false,false,false,false,true,true,true,60,9,4231971,42.384,0.484,3.922
690,true,true,false,false,true,true,false,false,false,40,9,3098166,49.772,0.436,5.659
691,true,true,false,false,true,true,false,false,false,40,5,3101000,37.796,0.580,4.413
692,true,true,false,true,false,false,true,true,true,20,1,4872717,28.232,0.316,2.715
693,true,false,false,true,false,true,false,true,false,20,9,3565067,43.964,0.504,4.438
694,true,false,false,true,false,true,false,true,false,20,5,3566192,34.940,0.456,3.742
695,true,false,false,true,false,true,false,true,false,20,1,3564692,27.996,0.464,3.198
696,true,false,false,true,false,false,false,false,true,20,5,3550216,37.436,0.332,4.216
697,true,false,false,false,true,false,true,true,false,40,9,4257644,44.432,0.424,4.130
698,true,true,false,true,true,true,false,true,false,60,1,3603053,26.780,0.464,3.756
699,true,true,false,false,false,true,true,false,false,20,1,4215783,28.712,0.364,2.717
7,true,true,false,false,true,false,false,true,true,40,9,3124839,39.528,0.392,4.170
70,true,false,false,false,true,false,false,false,false,40,1,3168426,28.288,0.356,3.599
700,true,false,false,true,false,true,true,false,false,40,5,4845769,42.468,0.476,4.352
701,true,false,false,true,false,false,false,false,true,20,1,3579639,27.524,0.388,3.130
702,true,true,false,true,true,false,true,false,true,40,9,4871651,50.256,0.404,5.277
703,true,true,false,false,false,true,true,false,false,20,5,4175583,40.028,0.368,4.072
704,true,false,false,true,false,true,true,false,false,40,9,4837499,55.168,0.516,5.975
705,true,false,false,false,true,true,true,false,true,60,9,4295528,56.012,0.448,5.940
706,true,true,false,false,false,true,true,false,false,20,9,4173806,52.784,0.504,5.633
707,true,true,false,true,true,true,false,true,false,60,9,3584614,42.648,0.460,4.681
708,true,false,false,false,true,true,true,false,true,60,5,4300781,42.984,0.448,4.388
709,true,false,false,true,false,false,false,false,true,20,9,3542223,47.972,0.528,5.378
71,true,false,false,false,false,true,true,false,false,40,1,4243703,30.716,0.400,2.838
710,true,true,false,false,false,true,false,false,true,60,9,3080041,50.380,0.460,5.912
711,true,true,false,true,true,true,false,true,false,60,5,3591606,33.600,0.436,4.100
712,true,false,false,false,true,true,true,false,true,60,1,4326309,30.732,0.372,2.880
713,true,true,false,false,false,true,false,false,true,60,5,3083775,37.712,0.508,4.371
714,true,true,false,false,false,true,false,false,true,60,1,3114246,27.228,0.484,3.728
715,true,true,false,true,true,false,true,false,true,40,5,4884834,38.656,0.420,3.958
716,true,true,false,true,true,false,true,false,true,40,1,4922285,28.064,0.400,2.683
717,true,true,false,true,true,false,false,true,true,20,5,3569924,31.316,0.432,3.431
718,true,false,false,false,true,true,false,true,true,20,5,3169304,34.748,0.496,3.609
719,true,false,false,true,false,true,false,true,false,40,1,3590185,28.228,0.536,3.552
72,true,false,false,true,true,false,true,false,true,60,9,4921970,52.908,0.420,5.616
720,true,true,false,true,true,false,false,true,true,20,1,3585300,25.640,0.412,3.133
721,true,false,false,false,true,true,false,true,true,20,1,3176987,28.056,0.388,3.188
722,true,true,false,false,true,true,false,false,false,20,1,3114618,26.280,0.392,3.033
723,true,false,false,false,true,true,false,true,true,20,9,3169047,44.144,0.472,4.374
724,true,true,false,false,true,true,false,false,false,20,9,3073407,49.300,0.424,5.443
725,true,true,false,false,false,false,false,true,false,60,1,3080370,27.096,0.492,3.728
726,true,true,false,false,true,true,false,false,false,20,5,3074998,37.176,0.444,4.069
727,true,false,false,true,false,true,true,false,false,60,1,4873374,30.616,0.344,2.834
728,true,true,false,false,false,false,false,true,false,60,5,3058112,32.664,0.516,4.084
729,true,false,false,true,false,true,false,true,false,40,9,3591026,44.692,0.460,4.753
73,true,true,false,false,true,true,true,false,true,20,9,4262281,52.912,0.476,5.579
730,true,false,false,false,true,false,true,true,false,60,1,4272359,30.396,0.412,2.876
731,true,false,false,true,false,true,true,false,false,60,5,4845769,42.456,0.448,4.380
732,true,true,false,false,false,false,false,true,false,60,9,3057929,39.996,0.476,4.405
733,true,false,false,true,false,true,false,true,false,40,5,3597061,35.228,0.512,3.960
734,true,false,false,false,true,false,true,true,false,60,5,4253194,36.432,0.452,3.455
735,true,false,false,false,false,false,true,true,true,40,1,4277806,30.688,0.312,2.844
736,true,true,false,false,false,false,false,false,true,20,1,3073411,25.900,0.524,3.098
737,true,false,false,false,false,false,true,true,true,40,5,4263263,36.604,0.348,3.430
